feature,type
day_cos,combined
sealevelpressure_roll_std_21,combined
cloudcover_roll_std_84,combined
cloudcover_roll_std_56,combined
sealevelpressure_roll_mean_56,combined
daylength_uv,combined
precip_roll_std_56,combined
dew_lag3,combined
sealevelpressure,combined
temp_lag1,combined
dew_lag7,combined
sealevelpressure_lag3,combined
precip_roll_std_21,combined
windspeed_roll_mean_84,combined
temp_lag7,combined
cloudcover_roll_mean_84,combined
solarradiation,combined
sealevelpressure_roll_mean_21,combined
day_length_h,combined
week_cos,combined
sealevelpressure_roll_mean_14,combined
precip_roll_mean_56,combined
humidity_roll_std_84,combined
precip_roll_std_7,combined
dew,combined
sealevelpressure_roll_std_28,combined
solarenergy,combined
winddir,combined
sealevelpressure_roll_mean_7,combined
dew_lag1,combined
precip_roll_mean_14,combined
temp_lag3,combined
sealevelpressure_roll_mean_28,combined
windspeed_roll_mean_56,combined
sealevelpressure_lag1,combined
sealevelpressure_lag7,combined
humidity_roll_std_56,combined
precip_roll_mean_28,combined
sealevelpressure_roll_mean_84,combined
